2,selamat hari jumat buat kamu yg selalu bikin rindu ini kumat 
0,kesian belakang dengan laki lain and girl goes like mesti dia tak bagi attention sampai gf dia buat camtuh men are t 
2,diremes di enyot ngedusel dusel di nenen kamu wah mantap
1,mana gampaang aku nanya dulu tauu 
0,idm hallo ami tolobg bantu ya huhu ini aku masalah album ku yg ga sampe sampe 
0,takde gf pun takpe imaginary gf pun also can lepastu lama lama aku jadi gila sekian
2,hi rakyat2 ku karena akhirnyauga postelca aku mau give away album love yourself answerealed versionnya pilihendiri e 
1,makan tido makan tido hari ni aku mereput je la kat rumah hadap diorang ni haih 
0,10 tahun jadi bestfriend but gaduh sikit sampai 7 bulan tak tegur malam tadi aku koyak sikit pastu post gambar dia tetib 
1,threado as promised aku nk citer pengalaman aku ambik teh kurus pil kurus it was 2013 2014 mcm tuince everyone was s 
1,makanya tadi aku kaget lihat teman kabar nya udah menikah dalam hati kamu kapan taarufnya kok sampai ga tercium kabarnya 
0,pacar kamu sibuk ya kok tumben komen wassap story aku 
0,kucin datang bawah meja mintak makanan kau bagi lah apa yang ada jangan sepak2 pulak dia tak datang seekor dia datang ber 
0,lepaskanlah dia tidak mau kamuadarlah jangan membatu 
0,aku nak tanya lah apa perasaan korang bila simpan duit dalam tabung kemudian anai2 makan duit tu 
0,tolong sebelum kau nak kacau orang yg aku sayang kau fikir dulu mcm mana perasaan kau bila ada orang kacau buah hati kau
0,biasalah tu perempuan kena berjaga jaga muka malaikat pun kadang2 perangai syaitan jugak aku pernah gak camni lari laju teruk 
2,pilih salah satu yang paling kamu nyaman
2,aku sendiri jugaaa yuk barengan
0,aku benci soalan bala dgn amelia dh la takde duit nk pinjam pinjam lak cb tul pastu aku lak aku kena kire
1,aku juga dong mbaknya link kalo jepang main 
0,24 8 18 birthday abang aku dia ajak pergi makan aku tolak sebab kerja balik lambat nak ot 26 8 18 dia ajak per 
2,mini giveaway berhubung aku ultah aku mau bagi rezeki pulsa 10k like aja mau mutualan boleh bgt doain aku yaa diundi j 
2,mantan kamu yang brengsek itu jangan dilupain justru dijadikan pengingat bahwa kamu pernah salah pilih dan dibego bego 
2,aryana tolong bukak mata besar besar pilihlah syafiq biarlah sofea bahagia bersama adrian pls laaaaaaaa murungnya aku kal 
1,hyung kamu kanibal kan ' ' 
2,buatlah cita cita kamu setinggi bintang di langit tetapi jangan lupa untuk membuat anak tangga perencanaannya cendekiabijak
0,kamu ga laku laku unn 
0,aku try untuk lupakan benda tu tapi akhirnya benda tu buat aku jadi down ya allah tlg laa hilangkan kekecewaan yg ada 
1,jajanin aku kak 
0,iyaaaa kasian donghae nya aku kelelep 
1,ini tiga aku satu aja gapunya ' 
1,hi semuanya aku adain give away nih give away nya album bts yg love yourself answers yey cukup follow dan retwee 
2,cantik boleh la confess kat crush peluang kena reject tu senipis sel epidermis bawang je tang aku ni kalau confess hmm 
1,'aku di rumah aja' adalah anagram dari 'besok malam minggu'
1,jumat malam bersama 2 kawan di dalam mobil menuju sebwah apartemen diurabaya barat b gaes sorry ya aku dan a k 
0,aku juga pernah dah kek gitu 2x gaada hasil percumaa
0,ku kira aku introvert ternyata karna nga punya uang aja jadi males ke mana mana 
2,cnta kmu ke aku tuh kyk fto albm tau g dbalk2 ttp aj g brbh sma ky km yg g prnh brbh untk mnjdi yg trbaik untk aku
2,ini yang buat aku semakin yakin indonesia akan damai jika di pimpin beliau 
0,aku fakap betul kalau nak pergi makan ramai2 nak happy2 tetibe ada yang badmood woiiii nak makan je woiii 
0,kalau awek kamu bising nothing is wrong once awek kamu dah senyap everything is wrong perhaps dia dah ada someone yg 
0,pernah dan abis itu aku ga berani bawa motor selama beberapa hari dan pas mau bawa motor lagi gemeteran gitu
2,aku nk walk in ajelah senang
2,jadilah seperti aku
2,sentiasa ingatkan diri jangan selalu tunjukkan kegembiraan depan orang yang sedang kecewa moga aku sentiasa ingat 
1,aku nang kampus untuk ngopi ketemu wong2 podo kabeh takok e lapo mengubah sosyeti a 
0,gipewei lagi sedih nih aku seokjin rt fllw rep pict seokjin tag klo mau doain aku juga gpp ga juga gpp 
2,temen temen yg ada di jatinangor dan sekitarnya bisa tolong dibeli ya jualan bapak ini beliau jual kain lap keset dsb 
2,hahaa aku juga ga ngerti tadi tp asal jwb aja
2,kelak jika aku menjadi orangtua yang akan kulakukan adalah meyakinkan anakku nak percaya sama ayah tidur siang itu men 
0,yang apa kamu mengabulkan doa ku untuk klosdonecepatnya okey kalo itu mau kamu 
2,aku terhibur hahahahahahahahahahahaha
1,kamu juga kan 
1,x de adab betul budak ni pinjam buku aku 
2,okay but the bahasa melayu names for our malaysian birds selalu buat aku mudah terhibur contohnya burung berek ber 
0,makin lama rasa apebende laa aku melalut ni i better stop 
2,iya lucu emang dia aku temenan di ig
0,dear makhluk hidup disekitarku kalo mau tau tanyain lgsung ke aku aja gausah lewat orang lain lumayan kan gak 
0,member aku ade cite kat aku yang dibreak up dgn gf die time dia cerita suddenly dia menangis weyh 5 tahun bersama kot 
0,hati aku kecewa aku sedih aku aku sorang je tahu orang lain tak tahu 
1,kenapa popular weh sorry aku blur x paham mksd hg 
2,lhaa kaann ancene aku arek e kurang pinter wayah e aku koncoan terus yaa ambk arek e sopo ngerti kecipratan rejeki
2,give away time untuk merayakan ulang tahun namjoon dan ulang tahun aku aku adain give away photocard dan juga album lov 
1,broimak video ini ribka tjiptaning penulis buku aku bangga jadi anak pki dia setuju pki harus tetap ada yang pasti d 
2,kak mau jugaa
1,mau mandi diceramahin dulu sama nyonya besar intinya sama tobat kamu abis iniiap komandan 
0,kepada para suami aku nasihatkan jangan forward gambar ni kepada isteri aku baru forward tadi 
0,aku tak faham betul lelaki tak suka perempuan pakai makeup 
0,wasyuu 
2,kamu adalah yang ia inginkan untuk menjadi tempat persinggahan terakhirebesar itu harapannya kepadamu jangan mengecew 
2,aku dulu lahir di jogja jogja dijuluki kota berhati nyaman pantes aja aku langsung pake hati kalo udah nyaman dikit 
2,guys aku jumpa ayat yang berguna untuk digunakan time korang tengah putus asa sabar terbahagi kepada dua iaitu sabar 
1,ada penjual suruh tebuk lubang kecik ja tahan lebih 30 hari aku dh nk dekat 3 bulan x hb 
2,kepada fresh grad yg tgh cari kerja boleh try amalkan zikir dan semua doa ni alhamdulillah lepas amalkan ni aku pon dpt 
0,at least datang balik minta maaf okay lah daripada hilang dari radar tinggal aku tanpa pesan kau ingat senang ke nak stick to 
0,macam mana nak tidur kalau still fikirkan orang yang kita sayang okay ke tak tu tidurnya lena ke dia perlukan aku tak ka 
1,kengkawan lama suka cari aku bila nak translate bahasa jawa hahah ingat lagi aku ni anak jawa 
2,kalau akhlak mereka lebih baik kenapa engga kalau mereka lebih bisa menghargai melindun 
1,karena aku kepo 11 13 20
0,aku betul betul nak mintak bantuan korangemua untuk cari haji loqman bin haji azli ni mugkin korang tak kenal tapi mugkin 
0,her miss kan taman safari jauh yo di pasuruan aku males nganterno andrew kesana kalo taman safarinya tak undang ke ru 
1,berarti aku bener dong jawab cowok dapet 2jt nggak nih 
1,tls followan ama aku yukk rep rt kita temenan
0,14 modal nomad 15 ribuan dan sekotak popcorn modus mesum dilancarkan pertama tama kamu merasa aneh lama lama kamu izinkan maksiat
0,terkadang allah kasih tahu kalau sesuatu itu bukan buat kamu dengan cara yg menyakitkan 
0,back then in school cikgu semua macam eh jangan bercinta sekarang nanti kat uni lagi handsome handsome kamu jumpa now i 
0,masih ingat lagi tak macam mana mula mula kita kenal dulu awal nya aku tertawa dan akhirnya aku menangis 
0,kalau tak bersungguh nak jaga aku boleh je berhenti berpura2 aku boleh jaga diri aku tanpa memaksa kau kau tak perl 
0,iya hubungin aku aja ya butuh dosa berapa banyak lagi wkwk
2,buat dong aku kan juga istrinya daniel 
0,kalau mahal service bagus takpe ini streamyx aku kat rumah pun barai 
2,hihihihi look at the face lepaskan aku taknak kau bau ikan bagi aku mandikan dulu namau nameow catsoftwit 
0,sejauh aku berjalan sampai dahlia baru perasan tertinggal labcoat kat dinamik sobss
1,antra bebanyak pondan kt malaysia ni aku rasa viviana ni y bila bercakap ada content ive never thought y komuniti ki 
1,lepas tengok movie onetwojaga teringat pulak time intern dulu kerja dengan contractor sebagai quantityurvey juruuk 
1,ada yang bertahan karena sayang ada juga karena terpaksa menurut kamu kapel kamu yang mana 
2,guys today aku nak rekomen kat korang movie2 yg best some of you maybe blm pernah tengok movie tu lagi aku tak berapa pa 
0,sudah waktunya aku mulai menjalani hidupku sendiri mello death note 
1,so aku pergi klinik sebab muntah tengok carta organisasi dia buatkan aku nak tergelak apa ni wei 
0,nampak la org lain semua dp gambar kawen dengan husband aku je dp gambar ambik sendiri 
1,ya allah pengen ngakak goler2 aku sama trit iniiii 
2,tolong la harini je dah banyak sangat ketawa krem perut aku yall
0,i dont know lah nak kata macam mana sekarangebab aku sorang yang rasa sakit so orang lain dont judge me
0,mu gemes banget adminnya aku ga jadi marah 
1,pastu kan perangai dia still babi lagi nampak sangat taknak aku kahwin biasa biasa 
1,siang happy friday sholat jum'at nya jangan lupa ya aku habis ada kegiatan terus nanti ada latihan bareng team j s 
1,kawan aku bagi tips dietebab masa cuti dia just makan nie utk diet and bila naik sem hari tu dia dah kurus giler ka 
2,gt tuhan yesus berkata 'aku dapat menggantikan rasa frustasi di hatimu dengan damai sejahtera mbml
2,aku doakan lelaki yang tengah kerja cari duit untuk pasangan masing masing diberikan kesihatan dan dimurahkan rezekiemo 
0,bisaan aja kamu naruto padahal emang pengen nyium tp mukaku yg disalahin gt lt 
0,keluar airmata jantan aku baca 
0,siapa dapat first impression macam niumpah aku ingat kau dulu sombong gila orang pun cakap kau macam sombong aku p 
1,aku tadi nge rt wah wah wah
0,wah pas nonton berita ada yang dilamar pas wisuda jadi ingin aku tuh tapi yang nak melamar pon siape 
1,sebenarnya takde ciri pun bila dah sayang someone tu dia gelap pun kita suka dia putih pun kita suka dia tak hensem pu 
2,temen temen yg ada di jatinangor dan sekitarnya bisa tolong dibeli ya jualan bapak ini beliau jual kain lap keset dsb 
1,antara ayat penipuan paling besar 1 jap tengah siap 2 otw 3 tak study pun 4 takda kredit lah 5 pakai duit ka 
1,izinkan aku mengupload ini 
0,aku merasa seperti aku tidak bisa melakukan apapun tanpa elfungmin 
0,dalam instagram facebok twitter cantik depan depan takde la cantik mana bagitahu akuekarangiapa je yang nak upl 
2,bersyukurlah hingga kamu lupa rasanya kekurangan tulisanirin jumatberkah 
2,segitu kangennya ya mba sama aku 
1,kamu jangan lupa sholat dzuhurnya
1,life skang aku simplekan je aku tak suka aku tak layan itu je penat nk jaga hati org je pikir diri sendiri dlu 
0,bayangkan kalau posisi kamu lg di bwah dan orng lain melihat kita rendah karna materi yang kita punya
2,hidup ini adalah pilihan yang harus kamu pilih
1,tiap salam buat suami aku exo di korea paaak 
0,laa haha sorry2 akualah paham 
0,receeehh ah kamu
1,masalah pinjam lighter bang pinjam lighter jap ok light kena berdiri jap sedup satu pam kene hembus dlu sebab nak ucap 
0,sekurang kurang nya rm100 kalau budak yang miskin kau nk suruh mcm mana minta sedekah ke lepastu bila tak cukup kau 
1,tidur tak buka kipas or aircond bcs takut the kitten sejuk nanti bangun approximately every 2 hours just sebab dia nangis l 
2,if si keli tu boleh jadi femes apantah lagi aku kan kahkahkah 
0,hati aku kecewa aku sedih aku aku sorang je tahu orang lain tak tahu 
0,mau beli barang di shupe harganya sepuluh ribu tp ongkirnya 25ribu kesel banget deh wheres the justice tho aku jadi kayak be 
0,aku masih butuh selang waktu untuk mengerjakan visualnya biar mampus kalian menunggu sampai 3 kali rasain p
0,kok gitu sama aku
0,kukira aku introvert ternyata juga pedopil 
1,7 00 p m itu pagi apa malam ya pagiudah pernah coba trik pancing memancing kayak gitu b 
2,sayang lagi sakit jadi aku harus sentiasa ada buat sayangku 
0,omg kau jgn buat aku g kfc ppagi cmni 
1,mamak ni nak try aku ke apa 
0,ada yg mau serius tapi aku nya masih raguuu gmn donggg yaudah jangan dikasih harapan dianya kasiaan 
1,tomorrow i will date with yesterday's you movie aku download sebab katanya sedih k start movie sampai ending duk fikir t 
2,i liked a video aku tanya pak jokowi pakai bahasa jawa 
0,kalau jadi atasan gausah sombong2 deh menindas karyawan apa kamu langsung jadi milyuner melarang orang ga masuk karena ada 
1,aku ngatau nih bang definisi berhasil apa nga 
1,sama aku kapan 
1,aku main ww deg degan mulu wkwkwk id kamu apaa 
0,kayak woojin kesringan barengih dasar anak kembar 
2,okaay nggapapaa aku minta doyoung ajaa makasih yaa 
0,kalau tak bersungguh nak jaga aku boleh je berhenti berpura2 aku boleh jaga diri aku tanpa memaksa kau kau tak perl 
1,aku jual 
0,dulu waktu kecil aku bercita cita ingin menjadi seorang pengkhianat 
1,waw beliin buat aku dong
2,aku terima nikahnya dengan mas kahwin bacaanurah al fatihah dear future wife nanti kita kahwin saya sedekahkan al fat 
2,le makan samyang yuk aku udh lama ga makan samyang udh lama juga ga disayang
0,tu lah dulu aku paling malas nk kutip sebab malu kot mintak duit kt orang
0,rama gak usah ganggu aku sama karya ya tolong 
0,jangan begadang jangan minum2an soda jangan kau pilih dia pilihlah aku yang mampu mencintamu lebih dari dia 
2,pegi kedai bawak lah adik aku teman pastu uncle tu tanya ni anak you ke muka sama hahaha muka aku macam orang dah kawin ke doh
1,amin ustazah saya pening kepala me takpelah awak tulis je apa yang awak laratampai masa aku suruh hantar buku tara 
1,aku tak tahu kenapa bila time gaduh je english aku automatic power aku rasa time exam nanti kena gaduh dulu before jawab 
0,td mikirnya gtu pngn ngegas jg tp apalah aku ini hanya orng kecil tidak pnya pengaruh jd ngegasnya sia2 kwkwkwk 
2,aku suka mie sedap kalau di tumis ulang pake bawang merah bawang putih telor daun bawang irisan ca 
1,sebenarnya ramai sifu2 property approach aku utk join kelas investment etcemua cerita beli rumah murah dan sewakan 
1,kamu sudah shalat jum'at belum letsfridaypray
0,nak tnggu org reply email mmg lambat ah citenya aku nak settle kan bulan ni jgk 
0,rlt mutualan yu yang gamasalah aku suka rt in ga sama twt receh rt ya dn aku ada tapi follback kalo ngga maapin ak 
1,giveaway ina only adakah yg masih nungguin wdtv sampai hampir gila kaya aku help dong 1 1 doa boleh sekalian 
1,semoga kamu jadi salah satu dari 3ahabat yang beruntung dapetin pulsa 50k ya jangan lupa like dan ajak 3 teman kamu unt 
0,sedara aku buat hal pergi kenduri kahwin lepas tu ramai sangat orang lepas tu risau tak dapat tempat duduk maka htt 
2,jika aku jadi ratumu maka pasti kau rajanya ya kan 
1,aku baru je tukar tayar depan myvi sepasang rm 450 semalam 
1,hallo td aku berselancar di twt ttg belanja di gmarket gitu trs nemu km pernah beli album di gmarket 
0,boleh kot kalau nak buat insta story takyah jerit2 bingit sia telinga aku ckp biasa2 pun orang dah dgr 
0,orang selalu kata aku penat when dia sebenarnya tengah rasa sedih 
0,aku beria sekalipun bukannya kau nak appreciate 
1,aku nak buat nie ti
1,pipi nya cubit pipi kamu emang mau nya di cium dmn 
0,aku harap dia tak jual fhone 8 dia semata nak beli xs tu 
1,memang best tengok ikan datang aku pon pernah buat dekat pulau bagi makan roti tapi perbuatan tu salah ikan kene ma 
1,kalo aku bacanya sih emang kamu yang ngetik ga jelas wkwkwk
2,aku penggemar mie burung dara enaknya nyambung terus
0,assalam macam mana lelaki boleh ingat jalan jauhelekoh belok2 tanpa rujuk maps even pernah pergiekali je kalau aku 
0,kalen kalen pada jahad ma aku 
0,weyhh tolonglah faham aku sakit kau langsung tak kesah aku baru balik drpd klinik aku gagahkan badan aku untuk 
0,lebih baik aku seperti kopi yang dibiarkan membasi daripada kau sapa tapi sekedar basa basi 
1,giveaway pulsa 20k untuk 1 orang pemenang caranya retweet dan follow akun aku aja ya pemenang aku umumin tangga 
2,ni kalau suami aku panggil sayang macam ni we're gonna make babies right after 
1,ngapain kamu 
0,aku confuse dgn penjual kt malaysia ni macam asik tunjuk kekayaan je nak jual ke nak show off tunjuk kekayaan then 
2,be strong bro 
1,pernah pas masih ngajar privat gt adek kakak muridnya adek aku weekend ini mau ke spore miss pernah ke s 
1,aku dok bayang macam alien keluaq dari dada
2,di antara buku buku kesukaan yang kaubaca sampai malam kian jauh dan sendiri aku ingin jadi buku yang menelungkup di d 
1,adik aku yang darjah 5 tetiba masuk bilik pastu bagi pantun bread is rotihadow is bayangebelum akak mati better 
1,fastga gifwinner palinguka pake banget yang iniiiii yoon as the cutest and mino pampers him 
1,laki pun ada je ayat ni lahai 
1,diam tak berarti kamu kalah kadang itu hanya berarti kamu tak ingin berdebat dng orang yg bahkan menolak tuk mendengarkan 
1,tengok ni 
1,tls followan ama aku yukk rep rt kita temenan
1,isteri tak sihat sejak smlm mcm biasa aku keluar pagi jam 6 30am dia yg akan hantar anak2 ke tadika taska but to 
2,cerita hari ini aku baru beli 2 hamster biar ngga kesepian aja sih di rumah aku pandaaaang terus mereka berdu 
1,aku ngak haha cuma bawa tas selempang kecil aja udah kemana2 
1,biasanya lewat jalur mana ke arah kampung kamu 
0,udah gausah baper dia itu ngetik cuma pake jari jadi kamu bacanya pake mata aja gausah pake hati 
2,tak perlu takut untuk meninggalkan sesuatu yg tidak menghormatimu masih banyak kesempatan untukmu menjadi lebih terhormat jika kamu berani 
0,hati aku kecewa aku sedih aku aku sorang je tahu orang lain tak tahu 
2,let me make this clear paan dlm hidup ni kan kalau kita xrasa gagal kita xkan ada motivasi n 
0,1 may aku postedih karena gak bisa nonton homeshake amp mild high club di jakaa dan cosmo pyke diingapore 
2,ya allah aku berlindung kepada mu dari siksa kubur dari siksa neraka jahannam dari fitnah hidup dan mati dan dari f 
1,rlt yang suka jb2 yuk followan aku butuh temen ngobrol ga cuman butuh followers rt aja yaaa
1,memang best tengok ikan datang aku pon pernah buat dekat pulau bagi makan roti tapi perbuatan tu salah ikan kene ma 
2,kuis lagi kuis lagi emang daihatsu baik banget yaahabat bagi bagi hadiah pulsa terus kuis kali ini kamu harus menebak 
1,kalau tak bersungguh nak jaga aku boleh je berhenti berpura2 aku boleh jaga diri aku tanpa memaksa kau kau tak perl 
1,ab yg bucin exo mutualan yuu rt rep yaa dn aku ada nya janji follback kenalan ya 
0,sakdurunge koe dadi uler aku wes dadi kupu dadi saranku rasah perlu ngetoke goblokmu nganggo coro mbanggake bab nakalm 
2,stay beside you was my job hehee sayang kamu 
1,sebenernya aku gapapa sih which is itu tuh penting bgt kan karena english tuh literally international language tp prefer bah 
0,dah lah cpk aku
0,sedih bila aku dengan cerita dr patient aku huhu makcik nie masuk ward sebab heart attack baik sngt suka tegur aku senyu 
1,benda yang aku rasa tak perlu nak bawak gurau 1 rupa paras 2 bentuk badan 3 insecurities kita contohnya kita gagap pas 
1,ga ko aku juga pake bagpack
2,hahahahaha terhibur betul lah lol semua tempat dia tiful kan ingat ke aku sorang je perasan typo dekat caption tu 
1,aku meninggal nanti aku harap tak adalah orang yang post gambar kubur aku letak caption panjang lebaq kau sedekah al 
1,aku ingatkan berhari hari takda data ada la org cari aku dekat ws rupanya takda langsong 
1,baca ni aku tergolong org yg kaya 
2,fams sama aku yuk 
1,hari2 kalau tido brape jam je boleh mati sia otak aku 
1,hi semuanya aku adain give away nih give away nya album bts yg love yourself answers yey cukup follow dan retwee 
1,sembang dengan budak legend aku kau belajar kat mana main ml memboi 
0,aku nangis nih 
1,bts aku sedang sibuk menafkahi keluargaku dan mengejar impianku army aku sedang sibuk menafkahi orang yang sudah je 
2,aku cuba nak amalkan sikap pergi mampus tapi sayang aku gagal sebab aku jenis mudah kesian dan mudah memaafkan 
0,aku ditusuk dr belakang sakit 
1,askmf ayah aku ayah kan gak suka pedes tp kenapa masakan mama yg pedes tetep ayah makan soalnya mama kamu m 
1,aku tahu kalau check in the girls akan idamkan peluk sambil tido but then tak rasa kebas ke lelaki statik je tido mcm tu na 
1,tahukah kamu 14eptember diperingati sebagai hari kunjung perpustakaan peringatan ini dimulai sejak tahun 1995 oleh p 
1,aku tak tahu kenapa bila time gaduh je english aku automatic power aku rasa time exam nanti kena gaduh dulu before jawab 
1,nctea selama ini aku cuma tau fotonya jisung aja yg disini dan sekarang udah tau video nya mission complete https 
1,tadi kt dapur nk mkn aku nyanyi la lagu aizat jika ku air wudhukmu menjadi serimu dalam lima waktu mak pun sound da 
0,selama ni mmg ketinggian tk pernah jdi penghalang rupa yg selalu menjadi penghalang 
0,sedihnya rasa kadang kadang bila doa yg aku doa termakbul walaupun aku bukan hambanya yg terbaik allah tau apa yg kita pe 
1,aku tambahin deh nih
0,i baru 3a hm mengecewakan hang takmau a tu mai kat aku ' 
1,aku pernah ketemu lisa blackpink lagi solat di mesjid thailand dia wudhu juga aku liat 
2,wkwkwk gt lt berdoa aja kamu lip yg banyak semoga ganteng wowognya 
1,aku macam tahu je siapa bdhshshhs
0,tapi aku tgok lelaki asia pun mostly lpas kawin badan naik dan boroi 
1,kamu akan tanya karena aku pun juga mau tanya 
2,udah tau ikon dari jaman win yang aku suka pertama itu taehyun terus suka yunhyeong aku dukung ti 
1,aku lg baca buku ini yg suka puisi yuk reply halamannya dari 2 sampe 153 nanti aku fotoin rlt 
1,kenapa nama kucing sama denngan nama aku 
2,gilaaa beliin aku dong kak 
1,aku jual yg penting emailnya masih aktif
1,ayo siapa lagi yang mau 
1,freebies alle yuk cari aku di venue dan ikutin rules di gambar ini untuk dapetin freebies idealcutinjkt apinkinjkt 
1,woooojin apaaa jihoon ha
1,kahkah tu lah aku confuse ni hmmm
0,wanita yang paling malang di dunia adalah wanita yang tersalah pilih suami isteri adalah cerminan suami cantik suamimu cant 
1,ga yg ini aku masih pilih2 pemenangnyausah komentarnya pada bagus2 jdi bingung pilihnya tunggu sebentar lg okem 
1,bila cg intai kertas exam masa kau buat 
0,me doin math paper 1 hshshshshshsh bodo asal takama dgn jawapan aku hshshssh 5 minit lagi tembak 
0,gila punya perempuan gaduhikit sampai 7 bulan tak tegur lelaki gaduh hari ni esok dah stable sesama 
1,mau acc kamu jadi rame yuk upfoll di aku gt lt harga dan rules bisa cek pinned ya t upfoll rp
0,yng aku blja a yng kuar ujian b yng aku jwb c dan aku dpt gred g ehh taknk la yg dapt btul2 a 
1,wao ada ainul ada manul dekat gtdc tapi tulah aku takdak ah kat situ baik balik boh 
2,kalau kamu mau dihormati harus mau menghormati
1,aku daftarr g jfclosedday
0,makin aku besar makin banyak perkara yang aku pendam dan tak kongsi dengan orango jangan pelik kalau aku dah tak kuat semb 
2,tolong lah setiap hari tu sebelum tidur tanya diri sendiri dan self reflect perangai babi sampah apa ye aku buat harini 
0,tadi pamitnya tidur tapi aku cek ig di dm kamu kok ada ijo ijonya ya 
2,bibi adikku si cantik suka banget liatnya kalau kamu lagi seneng enggak tau kenapa jadi ikutan seneng bi pos 
0,jangan jadi kompor kamu ya jeffan
2,aku ikut habib lutfi aja rois aam jam'iyyah ahlith thariqah al mu'tabarah an nahdliyyah yg meminta menurunkan bendera yg k 
2,omg kamu harus melihat ini bigolive 
1,ohh buatpa weh dkt dgn aku dh tuu hahahaha
1,erm macam tautau je apa yang aku perlukan sekarang 
0,orangnya ganteng wangi murah senyum asik lemah lembut tapi ngetik aku masih aq bhay mz 
1,my dear followers and friends kalau korang ada buat photoshoot makanan tolong dm aku tolong dm aku price untuk photoshoot fo 
1,boleh mintak dilan satu bila dengar dilan sebut semua ni kan kau takkan rasa geli tau konon mcm nak kata dia jiwang and 
2,jadi dirimu sendiri agar ketika seseorang mencintai kamu tak perlu takut jika dia akan temukan dirimu bukan orang 
1,aku naik bas ke bot nii 
1,coba posisinya dituker deh kamu suka makan aku suka masak
1,giveaway diadakan dlm rangka bday guanlin mau tambah tmn monbebe amp nctzen 
0,minta ais batu je la anjir 
0,iya sabar aku mah tiap ada jeno selalu melesat mengetag amu 
0,omg batuk aku berdarah adakah ini jumaat yang terakhir 
1,untung mak aku ada anak yang suka tangkap gambar ni cuba teka umur dia berapa 
1,ku tak marah kau kacau tidurku tiap pagi genggamanmu kecil hanya muat satu jari tapi didalam kampung hatiku kau gergasi 
1,rangorang ni pasti mikir kalo crazyrichsurabayan tampilannya perlente pake barang mewah dari atas ampe bawah tapi bias 
